Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.6362,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355188.60063,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62048562947.2509,54790379458.8877,200013038488.906,209058991952.125,209755003250.664,213810023703.446,165979173991.026,160034162957.738,170097230857.956,175414987760.927,171157803367.473,145163902228.168
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,570000000,640000000,638000000,643000000,673000000,671000000,612000000,641000000,638000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1429049198.45218,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11236275842.7358,9129634978.33773,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,62306913444.2917
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459470370.37037,826370370.37037,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605351851.85185,1661962962.96296,1415059259.25926
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,517626700412.885,445445177459.453,383066977653.56
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838857.60997,1911563668.85006,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324,12645459213.5235
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764887117.194486,1873452513.96648,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310781069642.17,415222633925.768,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386179.354,196799778883.361,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416207272209.538,454872626780.005,445075391688.156,430947393757.511
